variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.6007,0.0135,0.3993,0.0135,0.0135,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4088,0.0178,0.5912,0.0178,0.0178,7,600
observed_only_behavior_clone,embodiment_shift,0.4293,0.0153,0.5707,0.0153,0.0229,7,600
observed_only_behavior_clone,combined_stress,0.3259,0.0102,0.6741,0.0102,0.0148,7,600
data_augmentation_wam,nominal,0.6459,0.0141,0.3541,0.0141,0.0154,7,600
data_augmentation_wam,hidden_mode_shift,0.4824,0.0145,0.5176,0.0145,0.0161,7,600
data_augmentation_wam,embodiment_shift,0.5172,0.0086,0.4828,0.0086,0.0094,7,600
data_augmentation_wam,combined_stress,0.4259,0.0147,0.5741,0.0147,0.0169,7,600
scalar_uncertainty_planner,nominal,0.6714,0.0153,0.3286,0.0153,0.0148,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5678,0.0159,0.4322,0.0159,0.0139,7,600
scalar_uncertainty_planner,embodiment_shift,0.5776,0.0162,0.4224,0.0162,0.0143,7,600
scalar_uncertainty_planner,combined_stress,0.5017,0.0132,0.4983,0.0132,0.0136,7,600
ensemble_disagreement_planner,nominal,0.7100,0.0186,0.2900,0.0186,0.0170,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.5909,0.0045,0.4091,0.0045,0.0079,7,600
ensemble_disagreement_planner,embodiment_shift,0.6293,0.0147,0.3707,0.0147,0.0157,7,600
ensemble_disagreement_planner,combined_stress,0.5500,0.0141,0.4500,0.0141,0.0126,7,600
conformal_risk_filter,nominal,0.7071,0.0149,0.2929,0.0149,0.0135,7,600
conformal_risk_filter,hidden_mode_shift,0.5983,0.0174,0.4017,0.0174,0.0159,7,600
conformal_risk_filter,embodiment_shift,0.6295,0.0092,0.3705,0.0092,0.0108,7,600
conformal_risk_filter,combined_stress,0.5610,0.0086,0.4390,0.0086,0.0064,7,600
proposed_branch_mechanism,nominal,0.7572,0.0139,0.2428,0.0139,0.0138,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6871,0.0096,0.3129,0.0096,0.0079,7,600
proposed_branch_mechanism,embodiment_shift,0.7233,0.0153,0.2767,0.0153,0.0235,7,600
proposed_branch_mechanism,combined_stress,0.6526,0.0096,0.3474,0.0096,0.0126,7,600
oracle_branch_upper_bound,nominal,0.8131,0.0152,0.1869,0.0152,0.0152,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7648,0.0094,0.2352,0.0094,0.0138,7,600
oracle_branch_upper_bound,embodiment_shift,0.7972,0.0143,0.2028,0.0143,0.0206,7,600
oracle_branch_upper_bound,combined_stress,0.7536,0.0090,0.2464,0.0090,0.0098,7,600
